"district","county","postcode1","price"
"SCARBOROUGH","NORTH YORKSHIRE","","145000"
"NORTH HERTFORDSHIRE","HERTFORDSHIRE","","5000"
"TORBAY","TORBAY","","70000"
"CARADON","CORNWALL","","43000"
"NORTH HERTFORDSHIRE","HERTFORDSHIRE","","60000"
"ST EDMUNDSBURY","SUFFOLK","","54000"
"CARRICK","CORNWALL","","31000"
"DARTFORD","KENT","","70000"
"CONWY","CONWY","","12500"
"WIRRAL","MERSEYSIDE","","15000"
"BURNLEY","LANCASHIRE","","11000"
"NORTH DEVON","DEVON","","9000"
"SWALE","KENT","","60000"
"SEFTON","MERSEYSIDE","","59500"
"NORTH CORNWALL","CORNWALL","","56500"
"EAST RIDING OF YORKSHIRE","EAST RIDING OF YORKSHIRE","","46995"
"NORTH WILTSHIRE","WILTSHIRE","","27000"
"DOVER","KENT","","15000"
"CEREDIGION","CEREDIGION","","19999"
"TENDRING","ESSEX","","11000"
