"price","district","is_new"
"145000","SCARBOROUGH","0"
"5000","NORTH HERTFORDSHIRE","1"
"70000","TORBAY","0"
"43000","CARADON","0"
"60000","NORTH HERTFORDSHIRE","0"
"54000","ST EDMUNDSBURY","0"
"31000","CARRICK","0"
"70000","DARTFORD","0"
"12500","CONWY","0"
"15000","WIRRAL","0"
"11000","BURNLEY","0"
"9000","NORTH DEVON","0"
"60000","SWALE","0"
"59500","SEFTON","0"
"56500","NORTH CORNWALL","0"
"46995","EAST RIDING OF YORKSHIRE","0"
"27000","NORTH WILTSHIRE","0"
"15000","DOVER","0"
"19999","CEREDIGION","0"
"11000","TENDRING","0"
